task,sub,t1_ec,t1_fc
SOCIAL,111009,0.7884589278682991,0.6307230045187782
GAMBLING,111009,0.727208482553016,0.5425440159000994
MOTOR_HF,111211,0.7796514353214706,0.6148427802673766
WM,111211,0.8415397596234975,0.7490544315901975
RELATIONAL,111211,0.7657030356439727,0.640917818236364
LANGUAGE,111211,0.8388157425983912,0.7926915793223708
EMOTION,111211,0.7507515046969043,0.5972302326889543
SOCIAL,111211,0.6909963812273826,0.5003397521234507
GAMBLING,111211,0.7383464271651697,0.49070556690979317
MOTOR_HF,111312,0.81276920480753,0.6033095831848948
WM,111312,0.813454334089588,0.6979761123507022
RELATIONAL,111312,0.7693876211726323,0.6576384227401421
LANGUAGE,111312,0.8033941462134138,0.6660217876361727
EMOTION,111312,0.8270054187838672,0.6979322370764817
SOCIAL,111312,0.7313591959949748,0.5186319914499465
GAMBLING,111312,0.6820137625860161,0.4608216301351883
MOTOR_HF,111413,0.7741820261376633,0.5385946787167419
WM,111413,0.8014561341008382,0.5648844055275345
RELATIONAL,111413,0.775090656816605,0.6169842311514446
LANGUAGE,111413,0.8432244576528601,0.7305780661129132
EMOTION,111413,0.7614889468059174,0.4676626103913149
SOCIAL,111413,0.786551853449084,0.5094423715148219
GAMBLING,111413,0.7065968537303357,0.4803420021375133
MOTOR_HF,111514,0.7733521459509122,0.6168850430315188
WM,111514,0.8196293101831886,0.7450400315001967
RELATIONAL,111514,0.7365212907580672,0.6060561003506272
LANGUAGE,111514,0.8235220220126376,0.7446504040650255
EMOTION,111514,0.7434978343614647,0.5476817355108469
SOCIAL,111514,0.7884579903624397,0.6421335758348489
GAMBLING,111514,0.7117572609828811,0.5414791967449796
MOTOR_HF,111716,0.831419571372321,0.6952235951474696
WM,111716,0.7654463465396657,0.6043438396489978
RELATIONAL,111716,0.7682937393358708,0.5373747960924755
LANGUAGE,111716,0.8572900455627848,0.7134608966306039
EMOTION,111716,0.7836495228095175,0.5881979262370389
SOCIAL,111716,0.7891406821292632,0.5912836330227063
GAMBLING,111716,0.6441852136575853,0.3909360058500365
MOTOR_HF,112112,0.8598893743085894,0.7922967018543866
WM,112112,0.7985239907749424,0.5956595353720959
RELATIONAL,112112,0.7726471415446345,0.5500339377121106
LANGUAGE,112112,0.8213801961262257,0.7721498884368027
EMOTION,112112,0.7468726679541746,0.5332621453884087
SOCIAL,112112,0.7556415352595953,0.5976800480002998
GAMBLING,112112,0.7587786173663584,0.5735803348770929
MOTOR_HF,112314,0.7054219713873211,0.4136693979337371
WM,112314,0.8649003431271445,0.7214520090750566
RELATIONAL,112314,0.7997118106988169,0.6688712429452683
LANGUAGE,112314,0.8600405002531265,0.7603532522078262
EMOTION,112314,0.6467884799279996,0.47564753529709564
SOCIAL,112314,0.8029148932180826,0.6139542122138264
GAMBLING,112314,0.6540783379896123,0.4338711491946824
MOTOR_HF,112516,0.7212181951137194,0.4728419552622204
WM,112516,0.7781418633866461,0.6159104119400746
RELATIONAL,112516,0.8000067500421877,0.6507027543922149
LANGUAGE,112516,0.8254017212607578,0.7485581159882249
EMOTION,112516,0.775208595053719,0.5487257420358876
SOCIAL,112516,0.7930167063544148,0.6560606003787522
GAMBLING,112516,0.7157212232576453,0.47806948793429954
MOTOR_HF,112920,0.7456694729342057,0.5784491778073613
WM,112920,0.8201516884480526,0.6312052575328595
RELATIONAL,112920,0.7337884611778822,0.5488543678397989
LANGUAGE,112920,0.852611328820805,0.7679530497065605
EMOTION,112920,0.7975765473534209,0.5802932518328239
SOCIAL,112920,0.7920591378696116,0.6523403896274352
GAMBLING,112920,0.6596351227195171,0.4157375358595991
MOTOR_HF,113215,0.7939761498509365,0.575750285939287
WM,113215,0.7801475634222713,0.5565368533553333
RELATIONAL,113215,0.7596388727429545,0.6095066844167776
LANGUAGE,113215,0.8129216432602703,0.6911493821836386
EMOTION,113215,0.8289702435640222,0.6416811355070969
SOCIAL,113215,0.7609868186676166,0.5487870549190932
GAMBLING,113215,0.6378542365889787,0.3905593159957249
MOTOR_HF,113316,0.7528027675172969,0.5510385689910562
WM,113316,0.7710216938855868,0.5819449496559352
RELATIONAL,113316,0.8291785573659834,0.6987881799261244
LANGUAGE,113316,0.8276489228057675,0.7031908949430933
EMOTION,113316,0.7821932012075075,0.6809581309883186
SOCIAL,113316,0.7472891080569254,0.606661729135807
GAMBLING,113316,0.6931258320364502,0.4395756848480303
MOTOR_HF,113619,0.7971252320327001,0.6751238445240282
WM,113619,0.7281876136725853,0.4569973562334764
RELATIONAL,113619,0.6603631897699361,0.4729398308739429
LANGUAGE,113619,0.7757832861455384,0.7280779254870343
EMOTION,113619,0.7278613616335101,0.600063562897268
SOCIAL,113619,0.7879909249432808,0.7301893761836011
GAMBLING,113619,0.7012703204395027,0.4158547240920255
MOTOR_HF,113922,0.8059177244857779,0.6669156057225357
WM,113922,0.7638100238126487,0.5640573378583617
RELATIONAL,113922,0.7430433315208219,0.5818200738754616
LANGUAGE,113922,0.8362351639697748,0.7539782123638272
EMOTION,113922,0.7563772898580616,0.5538351489696809
SOCIAL,113922,0.8060844130275814,0.6223561397258732
GAMBLING,113922,0.6928558303489396,0.4223925149532184
MOTOR_HF,114217,0.8015088219301371,0.6696776854855343
WM,114217,0.8005086906793167,0.6232822080138
RELATIONAL,114217,0.7274674216713855,0.5710335064594154
LANGUAGE,114217,0.8039041494009337,0.7808915680723004
EMOTION,114217,0.754125025781411,0.49652354077212973
SOCIAL,114217,0.7747580297376858,0.552375639847749
GAMBLING,114217,0.6996823730148313,0.4314167588547428
MOTOR_HF,114318,0.7803225020156375,0.6217936362102262
WM,114318,0.8296276226726418,0.7225974537340857
RELATIONAL,114318,0.8122155138469616,0.6809138807117543
LANGUAGE,114318,0.8018225113906962,0.6460069750435938
EMOTION,114318,0.8092792454952844,0.6272853580334876
SOCIAL,114318,0.8246790917443233,0.7435338345864662
