sub_id,roi,time,global_baseline_energy,global_evoked_energy,global_effect_size
id_100206,100,205,184.4485065434155,163.7980614963771,0.000281019146685
id_100206,100,206,175.88600694223368,166.1242333020983,0.0002707190763291
id_100206,100,207,180.77391868275248,184.3623420950007,0.0002767342491551
id_100206,100,208,201.74411143419232,219.18401875282444,0.0002551303744738
id_100206,100,209,237.1247927659885,267.48350662042674,0.0002356183684359
id_100206,100,210,282.51959145862156,320.52585019598047,0.0002437894570623
id_100206,100,211,333.12312543678456,373.0774579081952,0.0002542586103123
id_100206,100,212,385.26575256666,426.34362107970264,0.0002304432021348
id_100206,100,213,436.6702928824604,476.47065717109206,0.0002289106388853
id_100206,100,214,485.4198840852034,520.277845756063,0.0002505118915302
id_100206,100,215,528.6163412976184,555.5120741816736,0.0002683613680686
id_100206,100,216,562.1747288682137,580.8284511862903,0.0002743402867105
id_100206,100,217,582.2471492895218,592.9060195354357,0.0002646207757961
id_100206,100,218,587.5649041959001,592.0497910705111,0.0002597060046388
id_100206,100,219,580.7700765532742,580.1439462317483,0.0002592661195071
id_100206,100,220,567.2065184543018,566.4362559559601,0.0002654668216449
id_100206,100,221,552.4798767609255,552.9530243790782,0.0002835039303853
id_100206,100,222,540.9563459467955,546.7857278602701,0.000277331611626
id_100206,100,223,535.3357952748526,546.761595929027,0.0002783691327239
id_100206,100,224,536.4657609399901,551.0122345867112,0.0003034706510272
id_100206,100,225,543.0444467511038,557.46761085901,0.0002881365906896
id_100206,100,226,551.5003547206833,561.0762103695952,0.0003038227866737
id_100206,100,227,556.6696011228605,555.6831165704331,0.0003081350740506
id_100206,100,228,553.426288905421,537.0655254997757,0.0003307064425497
id_100206,100,229,538.737065564947,507.2095718707766,0.0003275856202111
id_100206,100,230,512.8355353307077,469.5674079841097,0.0003126862435875
id_100206,100,231,478.4990833481348,428.02120006282894,0.000275634793997
id_100206,100,232,439.5531506890123,388.4922219681481,0.0002744615134023
id_100206,100,233,400.18187888813907,353.04309511442426,0.0002715948055058
id_100206,100,234,364.5529869377507,323.38515227142193,0.0003028199876826
id_100206,100,235,335.6053787919743,303.44317435547316,0.0002882466767035
id_100206,100,236,313.5982886747798,290.8949185552015,0.0002809464808185
id_100206,100,237,296.0327403656834,279.24234972284944,0.0002970326110764
id_100206,100,238,279.5805847858577,264.6012088266987,0.0003033395329377
id_100206,100,239,263.1723101594671,252.65459610134968,0.0002795889933652
id_100206,100,240,249.9597760755204,248.7260572550328,0.0002549332192415
id_100206,100,241,245.817504219176,255.95554353542548,0.0002453812756619
id_100206,100,242,255.50072237963585,276.3384047981632,0.0002618984974514
id_100206,100,243,280.12502152157805,309.13644687676805,0.0002407784452056
id_100206,100,244,317.2451212541837,352.60766237450196,0.0002324925353515
